id,title,place,description,site_url,favorites_count,comments_count,publication_date
51378,На Парашютной снова пасутся чёрные свиньи,,Сначала их приняли за кабанов.,https://kudago.com/spb/news/na-parashyutnoj-snova-pasutsya/,0,0,2024-09-13
51377,«Аэрофлот» запускает рейсы между Петербургом и Бангкоком,,А ещё из Пулкова станут чаще летать в Тунис.,https://kudago.com/spb/news/aeroflot-zapuskaet-rejsyi-mezhdu/,0,0,2024-09-13
51376,Над Подмосковьем и Ленобластью наблюдали северное сияние,,В выходные есть шанс на повторение небесного шоу.,https://kudago.com/all/news/nad-podmoskovem-i-lenoblastyu/,0,0,2024-09-13
51375,В Петербурге объявили оранжевый уровень опасности из-за жары,,В Ленобласти ситуация не лучше.,https://kudago.com/spb/news/v-peterburge-obyavili-oranzhevyij-uroven-opasnosti-iz-za-zhary/,0,0,2024-09-13
51372,В Новгороде нашли берестяную грамоту с пожеланием удавиться,,Сообщению около 900 лет.,https://kudago.com/all/news/v-novgorode-nashli-berestyanuyu/,0,0,2024-09-12
51371,Музей-усадьба художника Ильи Репина закрывается на реставрацию,,Работы продлятся почти два года.,https://kudago.com/spb/news/muzej-usadba-hudozhnika-ili/,0,0,2024-09-12
51368,У станции «Рыбацкое» построят перехватывающую парковку,,Идёт поиск исполнителя.,https://kudago.com/spb/news/u-metro-ryibatskoe-postroyat/,0,0,2024-09-12
51367,Майкл Б. Джордан снимет свою версию «Аферы Томаса Крауна»,,И исполнит в ней главную роль.,https://kudago.com/all/news/majkl-b-dzhordan-snimet-svoyu/,0,0,2024-09-12
51364,Обновленную экспозицию петербургского Центра культурного наследия представят в октябре,,Также в музейно-просветительском пространстве появился аудиогид.,https://kudago.com/spb/news/obnovlennuyu-ekspozitsiyu/,0,0,2024-09-12
51361,"В Петербурге показали, какими должны быть козырьки для внутренних дворов",,В разработке образцов участвовал КГИОП.,https://kudago.com/spb/news/v-peterburge-pokazali-kakimi/,0,0,2024-09-12
51362,Сладкий вкус справедливости: рецензия на фильм «Револьвер»,,"Кинопрокатная компания «Про:Взгляд» регулярно приносит на российские экраны жемчужины кинематографа со всего мира. В этот раз прокатчик удивляет отборным южнокорейским кино с мрачной атмосферой и медитативным развитием сюжета. Кроме того, в главных ролях наверняка знакомые российскому зрителю лица — лауреатка Каннского кинофестиваля Чон До Ён, Чи Чхан Ук из «Большего зла» и Ли Джон Джэ из «Игры в кальмара». Какой получилась криминальная драма, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.",https://kudago.com/all/news/retsenziya-na-film-revolver/,0,0,2024-09-12
51358,В России могут организовать посадку на поезд по биометрии,,Не придётся показывать документы или билет.,https://kudago.com/all/news/v-rossii-mogut-organizovat/,0,0,2024-09-12
51359,Авиарейсы из Петербурга в Дубай станут ежедневными,,Время полёта — семь часов.,https://kudago.com/spb/news/aviarejsyi-iz-peterburga-v-dubaj/,0,0,2024-09-12
51357,Первая декада сентября выдалась в Петербурге аномально солнечной,,Вторая будет не хуже.,https://kudago.com/spb/news/pervaya-dekada-sentyabrya-vyidalas/,0,0,2024-09-12
51354,Вышла аудиоверсия книги «Канашибари. Пока не погаснет последний фонарь. Том II»,,Герои снова проверяют себя на прочность в мрачных испытаниях.,https://kudago.com/all/news/vyishla-audioversiya-knigi/,0,0,2024-09-12
51355,В Выборге законсервируют средневековый собор,,Его руины станут частью общественного пространства.,https://kudago.com/spb/news/v-vyiborge-zakonserviruyut-srednevekovyj-sobor/,0,0,2024-09-12
51352,Эрмитаж отменит плату за вход на три дня,,Но только по вечерам.,https://kudago.com/spb/news/besplatnyj-vhod-v-ermitazh-po-vecheram/,0,0,2024-09-11
51351,Вышел трейлер байопика о Дональде Трампе,,В ленте расскажут о молодости будущего президента США.,https://kudago.com/all/news/trejler-bajopika-o-donalde-trampe/,0,0,2024-09-11
51318,Новая культура зовёт: гид по кинофестивалю Beat Weekend 2024,,"С 12 по 22 сентября в 27 городах России пройдёт фестиваль документального кино о новой культуре Beat Weekend. Вот уже несколько лет создатели фестиваля собирают региональную спецпрограмму, куда входят лучшие показы московского Beat Film Festival. Этот год не стал исключением, и авторам есть чем удивить поклонников документального кино. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.",https://kudago.com/all/news/gid-po-kinofestivalyu-beat-weekend-2024/,0,0,2024-09-11
51349,Опубликован новый трейлер мультфильма «Дикий робот»,,Мировая премьера — в конце сентября.,https://kudago.com/all/news/trejler-multfilma-dikij-robot/,0,0,2024-09-11
51345,В России могут запретить квадроберов,,"Подражание животным опасно для подростков и их окружения, считают инициаторы идеи.",https://kudago.com/all/news/v-rossii-mogut-zapretit/,0,0,2024-09-11
51346,Стала известна стоимость проезда по ВСМ,,Ввод в эксплуатацию намечен через четыре года.,https://kudago.com/all/news/stala-izvestna-stoimost-proezda-po-vcm/,0,0,2024-09-11
51342,Из Финского залива подняли обломки советского самолёта времён ВОВ,,Они станут экспонатами музея.,https://kudago.com/spb/news/iz-finskogo-zaliva-podnyali/,0,0,2024-09-11
